variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy,test_precision,test_recall
smell_2,1,334.0973,0.8512,1410.43,4.36,0.09,NA,0.01164,0.005269,2.4e-05,1.1e-05,0.8514,0.8663,0.8419
smell_2,2,335.8937,0.8782,235.06,4.83,0.12,NA,0.011711,0.0053,2.5e-05,1.1e-05,0.8449,0.8587,0.8355
smell_2,3,337.0062,0.8895,201.98,4.7,0.11,NA,0.01175,0.005318,2.6e-05,1.2e-05,0.8496,0.8623,0.8406
smell_2,4,336.7988,0.8486,167.98,4.42,0.11,NA,0.011742,0.005315,2.6e-05,1.2e-05,0.8534,0.8667,0.8449
smell_2,5,336.8796,0.8699,183.55,4.58,0.11,NA,0.011745,0.005316,2.5e-05,1.1e-05,0.8509,0.867,0.8417
smell_2,6,337.0567,0.8749,154.16,4.42,0.11,NA,0.011748,0.005317,2.6e-05,1.2e-05,0.8596,0.8735,0.8501
smell_2,7,337.243,0.8929,172.12,4.42,-109.15,NA,0.011758,0.005322,2.6e-05,1.2e-05,0.8438,0.8587,0.8357
smell_2,8,337.4152,0.8672,215.27,4.44,0.11,NA,0.011762,0.005324,2.6e-05,1.2e-05,0.8431,0.8579,0.8336
smell_2,9,337.5055,0.88,154.44,4.42,0.11,NA,0.011761,0.005323,2.6e-05,1.2e-05,0.8534,0.8665,0.8467
smell_2,10,337.6169,0.8806,169.93,4.44,0.09,NA,0.011768,0.005326,2.5e-05,1.1e-05,0.8543,0.8694,0.8444
