variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy
baseline,1,22.394,5.3331,3020.01,3859.09,3136.84,3859.09,0.000241,0.00012,2.3e-05,1.1e-05,0.6647
baseline,2,21.9432,5.4132,3034.1,3859.09,3151.07,3859.09,0.000255,0.000127,2.8e-05,1.4e-05,0.6846
baseline,3,22.2236,6.481,3034.32,3859.09,3151.43,3859.09,0.000252,0.000126,3.9e-05,1.9e-05,0.6769
baseline,4,22.1917,5.1175,3028.7,3859.09,3145.82,3859.09,0.000266,0.000133,1.9e-05,9e-06,0.6926
baseline,5,21.943,5.433,3031.36,3859.09,3148.18,3859.09,0.000245,0.000122,3e-05,1.5e-05,0.6817
baseline,6,21.946,5.4895,3031.85,3859.09,3149.21,3859.09,0.00024,0.00012,2.3e-05,1.2e-05,0.6687
baseline,7,21.3315,5.3179,3031.3,3859.09,3148.56,3859.09,0.000235,0.000117,2.5e-05,1.3e-05,0.6777
baseline,8,22.0287,5.4225,3019.43,3859.09,3136.71,3859.09,0.000254,0.000127,2.5e-05,1.3e-05,0.6747
baseline,9,22.296,5.4339,3017.37,3859.09,3134.15,3859.09,0.000242,0.000121,2e-05,1e-05,0.6632
baseline,10,22.0093,5.4832,3029.78,3859.09,3146.95,3859.09,0.000249,0.000124,2.3e-05,1.1e-05,0.6698
smell4,1,22.0627,5.5107,3011.48,3859.09,3128.62,3859.09,0.000252,0.000126,2.7e-05,1.3e-05,0.6756
smell4,2,21.3236,5.448,3015.55,3859.09,3132.79,3859.09,0.000244,0.000122,2e-05,1e-05,0.6758
smell4,3,22.0459,5.4861,3032.39,3859.09,3149.25,3859.09,0.000241,0.00012,2.4e-05,1.2e-05,0.6834
smell4,4,21.8288,5.5094,3030.85,3859.09,3148.01,3859.09,0.000245,0.000122,2.3e-05,1.1e-05,0.685
smell4,5,22.2883,5.4753,3035.76,3859.09,3153.19,3859.09,0.00025,0.000125,2.2e-05,1.1e-05,0.6806
smell4,6,21.9032,5.4187,3031.66,3859.09,3149.05,3859.09,0.000242,0.000121,2.9e-05,1.4e-05,0.6732
smell4,7,21.8281,5.4651,3024.9,3859.09,3142.14,3859.09,0.00025,0.000125,2.1e-05,1.1e-05,0.678
smell4,8,22.4319,5.2124,3030.01,3859.09,3147.21,3859.09,0.000239,0.000119,2.3e-05,1.2e-05,0.6841
smell4,9,21.7433,5.4301,3022.77,3859.09,3139.71,3859.09,0.00026,0.00013,2.4e-05,1.2e-05,0.6792
smell4,10,22.0712,5.4771,3031.94,3859.09,3149.07,3859.09,0.000248,0.000123,1.9e-05,1e-05,0.6864
