variant	run	stopped_epoch	train_time_sec	eval_time_sec	cpu_peak_train_mb	gpu_peak_train_mb	cpu_peak_eval_mb	gpu_peak_eval_mb	test_accuracy	test_precision	test_recall
ResNet-18 on SVHN Baseline	1	10	2195.9185	28.0817	9153.1797	3806.1553	5139.8516	2615.8413	0.9327	0.9294	0.9261
ResNet-18 on SVHN Baseline	2	10	2201.6887	26.3998	10467.125	2198.8672	5642.4609	1635.8923	0.9335	0.9321	0.9264
ResNet-18 on SVHN Baseline	3	11	2421.9971	26.6866	13791.9219	2337.064	6115.1016	1775.0254	0.9269	0.9237	0.9175
ResNet-18 on SVHN Baseline	4	12	2633.516	26.179	13063.7188	2476.9712	13075.4141	1913.9336	0.9295	0.9241	0.9213
ResNet-18 on SVHN Baseline	5	9	1980.7608	26.6144	13016.7148	2615.167	6817.9492	2075.884	0.9296	0.9237	0.9226
ResNet-18 on SVHN Baseline	6	12	2637.0362	26.195	14513.1719	2753.3628	14528.7227	2204.7974	0.9395	0.9402	0.9313
ResNet-18 on SVHN Baseline	7	11	2409.7305	26.5801	12930.082	2898.668	7410.375	2335.7908	0.9348	0.9282	0.9289
ResNet-18 on SVHN Baseline	8	10	2196.8354	26.224	12991.7305	3036.4888	13008.9492	2473.5571	0.9274	0.9259	0.916
ResNet-18 on SVHN Baseline	9	12	2627.0747	26.5717	13818.9531	3174.3096	8077.0703	2621.251	0.9372	0.9321	0.9327
ResNet-18 on SVHN Baseline	10	10	2203.2223	26.4933	13497.3516	3323.4116	13503.2266	2760.373	0.9272	0.9245	0.9159
ResNet-18 on SVHN Baseline	mean	10.7	2350.77802	26.60256	12724.39493	2862.04655	9331.91212	2241.23459	0.93183	0.92839	0.92387
